Time,Speed,Occu,Label
14420,59.030245,1.5,70 MPH
14440,59.030245,2,70 MPH
14460,55.302019,2,70 MPH
14480,65.243955,1.5,70 MPH
14560,64.622584,2.5,70 MPH
14580,55.92339,0.5,70 MPH
14640,60.272987,0.5,70 MPH
14680,63.17271833,2.5,70 MPH
14700,65.243955,2,70 MPH
14740,57.166132,2,70 MPH
14760,55.92339,1,70 MPH
14840,59.030245,0.5,70 MPH
14900,73.943149,1,70 MPH
14920,68.972181,1,70 MPH
14980,65.243955,1,70 MPH
15060,70.5256085,0.5,70 MPH
15080,65.243955,1,70 MPH
15100,64.001213,3,70 MPH
15120,65.865326,0.5,70 MPH
15140,65.865326,0.5,70 MPH
15160,65.243955,0.5,70 MPH
15200,67.729439,0.5,70 MPH
15240,67.108068,0.5,70 MPH
15260,68.972181,1.5,70 MPH
15300,67.729439,0.5,70 MPH
15340,71.7683505,1,70 MPH
15360,67.729439,0.5,70 MPH
15420,67.108068,1,70 MPH
15540,65.865326,0.5,70 MPH
15560,65.865326,0.5,70 MPH
15620,71.1469795,3,70 MPH
15760,67.729439,0.5,70 MPH
15780,68.972181,0.5,70 MPH
15800,67.729439,3,70 MPH
15820,67.729439,0.5,70 MPH
15840,68.972181,0.5,70 MPH
15860,71.457665,3,70 MPH
15900,65.865326,0.5,70 MPH
15940,67.108068,0.5,70 MPH
15960,67.108068,1.5,70 MPH
16000,67.108068,3,70 MPH
16020,67.729439,1,70 MPH
16040,70.214923,1.5,70 MPH
16060,70.214923,0.5,70 MPH
16080,72.700407,1.5,70 MPH
16100,72.700407,0.5,70 MPH
16120,68.972181,1.5,70 MPH
16140,68.972181,1.5,70 MPH
16220,71.25054133,2,70 MPH
16240,67.729439,0.5,70 MPH
16280,67.729439,0.5,70 MPH
16300,70.836294,1,70 MPH
16320,70.214923,0.5,70 MPH
16380,71.7683505,2.5,70 MPH
16440,67.729439,0.5,70 MPH
16480,70.214923,1,70 MPH
16500,67.729439,1,70 MPH
16520,67.108068,0.5,70 MPH
16540,72.700407,2,70 MPH
16580,74.8752055,1,70 MPH
16600,70.836294,0.5,70 MPH
16620,70.836294,1.5,70 MPH
16640,64.001213,2.5,70 MPH
16680,66.33135425,2.5,70 MPH
16720,62.758471,1.5,70 MPH
16740,78.914117,0.5,70 MPH
16760,62.758471,0.5,70 MPH
16780,72.28615967,2,70 MPH
16820,68.6614955,2.5,70 MPH
16840,59.030245,0.5,70 MPH
16860,75.807262,0.5,70 MPH
16900,60.272987,2,70 MPH
16940,62.758471,2,70 MPH
16960,72.079036,1.5,70 MPH
16980,73.6324635,0.5,70 MPH
17020,68.972181,0.5,70 MPH
17060,72.90753067,2.5,70 MPH
17080,74.8752055,1,70 MPH
17100,70.836294,0.5,70 MPH
17140,78.914117,0.5,70 MPH
17160,70.836294,0.5,70 MPH
17180,72.700407,2,70 MPH
17220,72.700407,0.5,70 MPH
17240,67.729439,3,70 MPH
17260,73.321778,1.5,70 MPH
17280,65.243955,2,70 MPH
17320,65.243955,0.5,70 MPH
17340,80.156859,0.5,70 MPH
17360,67.108068,1,70 MPH
17380,62.758471,2.5,70 MPH
17400,64.001213,0.5,70 MPH
17440,74.35739633,4.5,70 MPH
17460,65.865326,1,70 MPH
17480,67.729439,0.5,70 MPH
17500,67.108068,1,70 MPH
17540,70.5256085,3.5,70 MPH
17560,68.972181,1.5,70 MPH
17580,72.700407,0.5,70 MPH
17600,72.700407,0.5,70 MPH
17620,75.185891,2,70 MPH
17640,76.22150933,3.5,70 MPH
17680,78.292746,0.5,70 MPH
17700,72.079036,4,70 MPH
17740,72.079036,0.5,70 MPH
17760,72.079036,0.5,70 MPH
17780,72.700407,2,70 MPH
17800,73.943149,0.5,70 MPH
17900,73.321778,3,70 MPH
17940,70.214923,1.5,70 MPH
17960,63.22449925,5,70 MPH
17980,59.030245,0.5,70 MPH
18040,60.272987,0.5,70 MPH
18060,57.787503,0.5,70 MPH
18100,57.787503,0.5,70 MPH
18140,59.030245,1,70 MPH
18160,65.45107867,3,70 MPH
18180,59.030245,0.5,70 MPH
18200,60.272987,0.5,70 MPH
18220,59.030245,0.5,70 MPH
18240,62.1371,0.5,70 MPH
18260,62.1371,0.5,70 MPH
18280,64.001213,0.5,70 MPH
18300,65.865326,0.5,70 MPH
18320,70.214923,0.5,70 MPH
18340,72.079036,1,70 MPH
18360,72.700407,1.5,70 MPH
18420,72.700407,1,70 MPH
18440,72.700407,2.5,70 MPH
18480,72.079036,1.5,70 MPH
18500,73.943149,1,70 MPH
18560,70.836294,3,70 MPH
18580,72.28615967,2,70 MPH
18620,68.972181,2,70 MPH
18680,68.972181,1.5,70 MPH
